# 1629 FLIRT/identified names (VC6/MFC42/std)
0x00428DA0 _End3dDialogs
0x00428E80 _InternalCtl3dColorChange
0x00429010 _Ctl3dDlgProc@16
0x00429340 _DoesChildNeedSubclass
0x00429380 _Ctl3dHook@12
0x00429530 _FBtn
0x004295B0 _FComboList
0x004295F0 _FCombo
0x004296C0 _FStatic
0x00429710 _DoSubclassCtl
0x00429800 _Inval3dCtl
0x004298C0 _Val3dCtl
0x00429930 _DrawPushButton
0x00429C70 _BtnPaint
0x0042A1C0 _BtnWndProc3d@16
0x0042A4A0 _ListEditPaint3d
0x0042A7E0 _ShareEditComboWndProc3d
0x0042A930 _EditWndProc3d@16
0x0042A960 _SharedListWndProc
0x0042AB90 _ListWndProc3d@16
0x0042ABC0 _ComboWndProc3d@16
0x0042AC10 _StaticPrint
0x0042ACF0 _StaticPaint
0x0042AE90 _StaticWndProc3d@16
0x0042AFE0 _LibMain
0x0042B0B0 _LoadUIBitmap@32
0x0042B247 _WinMain@16
0x0042B25F ?AfxInitialize@@YGHHK@Z
0x0042B27D ??0_AFX_TERM_APP_STATE@@QAE@XZ
0x0042B2C4 ??0CString@@QAE@PBDH@Z
0x0042B2FA ?Mid@CString@@QBE?AV1@H@Z
0x0042B31D ?Mid@CString@@QBE?AV1@HH@Z
0x0042B3A8 ?Right@CString@@QBE?AV1@H@Z
0x0042B425 ?Left@CString@@QBE?AV1@H@Z
0x0042B49C ?SpanExcluding@CString@@QBE?AV1@PBD@Z
0x0042B4C6 ?Find@CString@@QBEHPBD@Z
0x0042B4E5 ?FormatV@CString@@IAEXPBDPAD@Z
0x0042B78B ?Format@CString@@QAAXPBDZZ
0x0042B79E ?TrimRight@CString@@QAEXXZ
0x0042B7E7 ?TrimLeft@CString@@QAEXXZ
0x0042B82C ?LoadBitmaps@CBitmapButton@@QAEHPBD000@Z
0x0042B8F4 ?DrawItem@CBitmapButton@@MAEXPAUtagDRAWITEMSTRUCT@@@Z
0x0042B9E3 ??0CFileDialog@@QAE@HPBD0K0PAVCWnd@@@Z
0x0042BB55 ?DoModal@CFileDialog@@UAEHXZ
0x0042BC12 ?GetPathName@CFileDialog@@QBE?AVCString@@XZ
0x0042BD2B ?OnInitDone@CFileDialog@@MAEXXZ
0x0042BD47 ?OnNotify@CFileDialog@@MAEHIJPAJ@Z
0x0042BE25 ?InitString@CSimpleException@@QAEXXZ
0x0042BE4E ?GetErrorMessage@CSimpleException@@UAEHPADIPAI@Z
0x0042BE91 ?AfxThrowMemoryException@@YGXXZ
0x0042BEAC ?AfxThrowNotSupportedException@@YGXXZ
0x0042BEC7 ??0CTime@@QAE@HHHHHHH@Z
0x0042BF13 ??0CTime@@QAE@ABU_SYSTEMTIME@@H@Z
0x0042BF5F ??0CTime@@QAE@ABU_FILETIME@@H@Z
0x0042BFAB ?GetLocalTm@CTime@@QBEPAUtm@@PAU2@@Z
0x0042C064 ?_AfxCommDlgProc@@YGIPAUHWND__@@IIJ@Z
0x0042C199 ?OnOK@CCommonDialog@@MAEXXZ
